field,value
run_ts,prec_layer2_tf32
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.53087306022644
single_sample_latency_ms,347.6133346557617
avg_latency_ms,24.226850078951927
p50_latency_ms,21.004676818847656
p95_latency_ms,33.94484519958497
total_inference_time_s,7.628187894821167
inference_start_wall_s,1781307540.9995098
inference_end_wall_s,1781307548.6276977
inference_elapsed_wall_s,7.628187894821167
latency_s_per_iteration,0.024607057725229572
avg_total_loss,0.09848641100069208
avg_pressure_loss,0.013682389103116527
avg_vx_loss,0.020309850309164292
avg_vy_loss,0.02161603636078296
avg_vz_loss,0.017456179586870055
peak_gpu_mem_mb,103.53515625
cuda_peak_alloc_mb,103.53515625
cuda_peak_reserved_mb,146.0
cuda_mem_get_info_peak_used_mb,4523.125
cuda_mem_get_info_delta_from_program_start_mb,1140.40234375
cuda_mem_get_info_delta_from_after_model_load_mb,374.640625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4237.16015625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3382.72265625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3982.94921875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3636.93359375}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3471.3984375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4148.484375}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3471.15234375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4148.73046875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3471.15234375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4148.73046875}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 16.0419921875, ""reserved_mb"": 146.0, ""max_alloc_mb"": 103.53515625, ""max_reserved_mb"": 146.0, ""mem_get_info_free_mb"": 3137.12890625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4482.75390625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 9.11767578125, ""reserved_mb"": 146.0, ""max_alloc_mb"": 103.53515625, ""max_reserved_mb"": 146.0, ""mem_get_info_free_mb"": 3096.7578125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4523.125}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_tf32/logs/virso_inference_prec_layer2_tf32.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,tf32
cuda_matmul_allow_tf32,True
cudnn_allow_tf32,True
float32_matmul_precision,high
