field,value
run_ts,prec_spectral_fp16_autocast
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.59241509437561
single_sample_latency_ms,305.9582710266113
avg_latency_ms,20.859418376799553
p50_latency_ms,18.628239631652832
p95_latency_ms,27.9449462890625
total_inference_time_s,6.580102205276489
inference_start_wall_s,1781307488.5691426
inference_end_wall_s,1781307495.1492448
inference_elapsed_wall_s,6.580102205276489
latency_s_per_iteration,0.02122613614605319
avg_total_loss,0.050699878064915535
avg_pressure_loss,0.005734730756751472
avg_vx_loss,0.01146003098918065
avg_vy_loss,0.011004457869116337
avg_vz_loss,0.008961465047492135
peak_gpu_mem_mb,27.16259765625
cuda_peak_alloc_mb,27.16259765625
cuda_peak_reserved_mb,38.0
cuda_mem_get_info_peak_used_mb,4518.09375
cuda_mem_get_info_delta_from_program_start_mb,1137.6484375
cuda_mem_get_info_delta_from_after_model_load_mb,341.53515625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4239.4375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3380.4453125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3984.49609375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3635.38671875}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3443.32421875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4176.55859375}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3443.32421875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4176.55859375}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3442.83203125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4177.05078125}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 21.14453125, ""reserved_mb"": 36.0, ""max_alloc_mb"": 26.9296875, ""max_reserved_mb"": 36.0, ""mem_get_info_free_mb"": 3137.578125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4482.3046875}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 14.189453125, ""reserved_mb"": 38.0, ""max_alloc_mb"": 27.16259765625, ""max_reserved_mb"": 38.0, ""mem_get_info_free_mb"": 3101.7890625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4518.09375}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_fp16_autocast/logs/virso_inference_prec_spectral_fp16_autocast.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
