field,value
Tegrastats_time_stamps_count,129
elapsed_s,26.33899998664856
mean_dt_s,0.20577343739569187
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,16.287077519379846
median_power_w,16.676
peak_power_w,16.92
energy_j_total,428.9158666758536
avg_gpu_util_pct,92.71317829457364
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,31.621447028423773
avg_ram_used_mb,4622.7441860465115
peak_ram_used_mb,4643.0
ram_total_mb,7620.0
max_temp_c,59.531
