field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.271929025650024
single_sample_latency_ms,352.6630401611328
avg_latency_ms,24.63813981702251
p50_latency_ms,22.266864776611328
p95_latency_ms,32.30959177017212
total_inference_time_s,7.765241861343384
latency_s_per_iteration,0.025049167294656078
throughput_samples_per_s,39.92148673993396
throughput_from_latency_samples_per_s,40.58747971342785
avg_total_loss,0.09776356367153986
avg_pressure_loss,0.013654747355969683
avg_vx_loss,0.020090352527556882
avg_vy_loss,0.021417005528365413
avg_vz_loss,0.01733499927626502
avg_power_w,13.898157894736842
median_power_w,15.06
peak_power_w,16.052
energy_j_total,105.54272441339494
energy_j_per_sample_est,0.3424247574095815
energy_j_per_sample_from_total,0.34046040133353206
edp_j_s,0.008436709049867283
avg_gpu_util_pct,73.73684210526316
peak_gpu_util_pct,98.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,38.26754385964912
avg_ram_used_mb,4525.105263157895
peak_ram_used_mb,4553.0
ram_total_mb,7620.0
max_temp_c,59.187
peak_gpu_mem_mb,103.53515625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_layer2_fp32_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_layer2_fp32_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_layer2_fp32_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_layer2_fp32_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_layer2_fp32_r2/logs/tegrastats_s7_layer2_fp32_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_layer2_fp32_r2/logs/virso_inference_s7_layer2_fp32_r2.log
Tegrastats_time_stamps_count,38
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,360.42578125
cuda_mem_get_info_delta_from_program_start_mb,1148.015625
cuda_mem_get_info_peak_used_mb,4603.50390625
