field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,1423
input_dim,102
output_dim,4
dataset_build_time_s,5.283724069595337
single_sample_latency_ms,87.19849586486816
avg_latency_ms,84.32281578584029
p50_latency_ms,84.24210548400879
p95_latency_ms,84.83963012695312
total_inference_time_s,120.00281524658203
latency_s_per_iteration,0.08433086103062687
throughput_samples_per_s,11.858055138756676
throughput_from_latency_samples_per_s,11.8591865164911
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
avg_power_w,17.03783108108108
median_power_w,17.028
peak_power_w,17.675
energy_j_total,2386.860105981573
energy_j_per_sample_est,1.436677891640264
energy_j_per_sample_from_total,1.6773437146743309
edp_j_s,0.12114472520037141
avg_gpu_util_pct,96.94069069069069
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,11.569444444444445
avg_ram_used_mb,4604.319069069069
peak_ram_used_mb,4624.0
ram_total_mb,7620.0
max_temp_c,74.156
peak_gpu_mem_mb,85.826171875
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_bf16_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_bf16_r3/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_bf16_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_bf16_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_bf16_r3/logs/tegrastats_sustained120_full_bf16_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_bf16_r3/logs/virso_inference_sustained120_full_bf16_r3.log
Tegrastats_time_stamps_count,1332
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,393.09375
cuda_mem_get_info_delta_from_program_start_mb,1175.94921875
cuda_mem_get_info_peak_used_mb,4595.58984375
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4200.265625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3419.640625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3960.1171875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3659.7890625}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3417.41015625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4202.49609375}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 14.51904296875, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.57373046875, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3262.1328125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4357.7734375}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 14.51904296875, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.51904296875, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3262.1328125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4357.7734375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 21.2451171875, ""reserved_mb"": 124.0, ""max_alloc_mb"": 85.826171875, ""max_reserved_mb"": 124.0, ""mem_get_info_free_mb"": 3024.31640625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4595.58984375}]"
cuda_peak_alloc_mb,85.826171875
cuda_peak_reserved_mb,124.0
