field,value
Tegrastats_time_stamps_count,1332
elapsed_s,140.1399998664856
mean_dt_s,0.10528925609803576
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,17.460563813813813
median_power_w,17.392
peak_power_w,18.95
energy_j_total,2446.859570946432
avg_gpu_util_pct,96.27327327327328
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,15.245495495495495
avg_ram_used_mb,4624.245495495496
peak_ram_used_mb,4759.0
ram_total_mb,7620.0
max_temp_c,74.312
