field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,1785
input_dim,102
output_dim,4
dataset_build_time_s,5.363823175430298
single_sample_latency_ms,70.87898254394531
avg_latency_ms,67.23552164243382
p50_latency_ms,67.15655326843262
p95_latency_ms,67.73505210876465
total_inference_time_s,120.02840209007263
latency_s_per_iteration,0.06724280229135722
throughput_samples_per_s,14.871480157342148
throughput_from_latency_samples_per_s,14.873090526732494
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
avg_power_w,17.460563813813813
median_power_w,17.392
peak_power_w,18.95
energy_j_total,2446.859570946432
energy_j_per_sample_est,1.1739701161927754
energy_j_per_sample_from_total,1.370789675600242
edp_j_s,0.07893249315484989
avg_gpu_util_pct,96.27327327327328
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,15.245495495495495
avg_ram_used_mb,4624.245495495496
peak_ram_used_mb,4759.0
ram_total_mb,7620.0
max_temp_c,74.312
peak_gpu_mem_mb,85.87744140625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r1/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r1/logs/tegrastats_sustained120_full_fp16_autocast_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r1/logs/virso_inference_sustained120_full_fp16_autocast_r1.log
Tegrastats_time_stamps_count,1332
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,520.14453125
cuda_mem_get_info_delta_from_program_start_mb,1310.546875
cuda_mem_get_info_peak_used_mb,4743.1015625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4187.3515625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3432.5546875}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3946.60546875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3673.30078125}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3396.94921875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4222.95703125}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3396.94921875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4222.95703125}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3396.94921875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4222.95703125}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 21.2451171875, ""reserved_mb"": 118.0, ""max_alloc_mb"": 85.87744140625, ""max_reserved_mb"": 118.0, ""mem_get_info_free_mb"": 2876.8046875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4743.1015625}]"
