field,value
Tegrastats_time_stamps_count,1332
elapsed_s,140.15599989891052
mean_dt_s,0.10530127715921152
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,18.55246846846847
median_power_w,18.617
peak_power_w,19.272
energy_j_total,2600.2238402452717
avg_gpu_util_pct,97.18318318318319
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,12.83546046046046
avg_ram_used_mb,4437.575075075075
peak_ram_used_mb,4457.0
ram_total_mb,7620.0
max_temp_c,74.125
