field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,7914
input_dim,102
output_dim,4
dataset_build_time_s,5.263085126876831
single_sample_latency_ms,19.896268844604492
avg_latency_ms,15.160815475382888
p50_latency_ms,15.076160430908203
p95_latency_ms,15.707838535308836
total_inference_time_s,120.01612567901611
latency_s_per_iteration,0.015165039888680327
throughput_samples_per_s,65.94113878634978
throughput_from_latency_samples_per_s,65.95951264123838
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
avg_power_w,16.661562734785875
median_power_w,16.569
peak_power_w,18.253
energy_j_total,2332.7816077265625
energy_j_per_sample_est,0.25260287815360455
energy_j_per_sample_from_total,0.29476644019794823
edp_j_s,0.003829665624237426
avg_gpu_util_pct,88.77836213373403
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,14.165289256198347
avg_ram_used_mb,4961.018031555222
peak_ram_used_mb,4975.0
ram_total_mb,7620.0
max_temp_c,74.156
peak_gpu_mem_mb,77.91259765625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r2/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r2/logs/tegrastats_sustained120_layer2_fp16_autocast_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r2/logs/virso_inference_sustained120_layer2_fp16_autocast_r2.log
Tegrastats_time_stamps_count,1331
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,421.42578125
cuda_mem_get_info_delta_from_program_start_mb,1169.51171875
cuda_mem_get_info_peak_used_mb,4943.34375
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3846.07421875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3773.83203125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3605.5234375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4014.3828125}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3097.98828125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4521.91796875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3097.98828125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4521.91796875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3097.98828125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4521.91796875}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 15.8427734375, ""reserved_mb"": 108.0, ""max_alloc_mb"": 77.91259765625, ""max_reserved_mb"": 108.0, ""mem_get_info_free_mb"": 2676.5625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4943.34375}]"
