field,value
run_ts,sustained120_layer2_fp32_r2
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,8883
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.193992853164673
single_sample_latency_ms,17.664194107055664
avg_latency_ms,13.506313440137573
p50_latency_ms,13.400554656982422
p95_latency_ms,14.14940357208252
total_inference_time_s,120.01401424407959
inference_start_wall_s,1785797522.6119537
inference_end_wall_s,1785797642.625968
inference_elapsed_wall_s,120.01401424407959
latency_s_per_iteration,0.013510527326812967
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
peak_gpu_mem_mb,103.52001953125
cuda_peak_alloc_mb,103.52001953125
cuda_peak_reserved_mb,148.0
cuda_mem_get_info_peak_used_mb,4616.34765625
cuda_mem_get_info_delta_from_program_start_mb,1060.24609375
cuda_mem_get_info_delta_from_after_model_load_mb,308.4140625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4063.8046875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3556.1015625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3816.859375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3803.046875}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3311.97265625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4307.93359375}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3311.97265625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4307.93359375}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3311.97265625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4307.93359375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 15.8427734375, ""reserved_mb"": 148.0, ""max_alloc_mb"": 103.52001953125, ""max_reserved_mb"": 148.0, ""mem_get_info_free_mb"": 3003.55859375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4616.34765625}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/logs/tegrastats_sustained120_layer2_fp32_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp32_r2/logs/virso_inference_sustained120_layer2_fp32_r2.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
