field,value
Tegrastats_time_stamps_count,1331
elapsed_s,140.10899996757507
mean_dt_s,0.10534511275757524
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,18.331061607813673
median_power_w,18.253
peak_power_w,19.434
energy_j_total,2568.3608519210743
avg_gpu_util_pct,92.23591284748309
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,13.215376909591786
avg_ram_used_mb,4645.434259954921
peak_ram_used_mb,4659.0
ram_total_mb,7620.0
max_temp_c,74.343
