field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,9054
input_dim,102
output_dim,4
dataset_build_time_s,5.021233320236206
single_sample_latency_ms,18.753528594970703
avg_latency_ms,13.250098103109721
p50_latency_ms,13.140439987182617
p95_latency_ms,13.872241973876953
total_inference_time_s,120.00487780570984
latency_s_per_iteration,0.013254349216446857
throughput_samples_per_s,75.44693320432022
throughput_from_latency_samples_per_s,75.47113932426703
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
avg_power_w,18.331061607813673
median_power_w,18.253
peak_power_w,19.434
energy_j_total,2568.3608519210743
energy_j_per_sample_est,0.24288836463767938
energy_j_per_sample_from_total,0.2836713995936685
edp_j_s,0.003218294659553138
avg_gpu_util_pct,92.23591284748309
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,13.215376909591786
avg_ram_used_mb,4645.434259954921
peak_ram_used_mb,4659.0
ram_total_mb,7620.0
max_temp_c,74.343
peak_gpu_mem_mb,103.52001953125
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r1/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r1/logs/tegrastats_sustained120_layer2_tf32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r1/logs/virso_inference_sustained120_layer2_tf32_r1.log
Tegrastats_time_stamps_count,1331
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,True
cuda_mem_get_info_delta_from_after_model_load_mb,302.30859375
cuda_mem_get_info_delta_from_program_start_mb,1057.2421875
cuda_mem_get_info_peak_used_mb,4628.59765625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4048.55078125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3571.35546875}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3806.1953125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3813.7109375}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3293.6171875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4326.2890625}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3293.6171875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4326.2890625}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3293.6171875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4326.2890625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 15.8427734375, ""reserved_mb"": 148.0, ""max_alloc_mb"": 103.52001953125, ""max_reserved_mb"": 148.0, ""mem_get_info_free_mb"": 2991.30859375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4628.59765625}]"
cuda_peak_alloc_mb,103.52001953125
cuda_peak_reserved_mb,148.0
