field,value
Tegrastats_time_stamps_count,1331
elapsed_s,139.98300004005432
mean_dt_s,0.10525037596996566
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,11.700625845229151
median_power_w,11.718
peak_power_w,12.515
energy_j_total,1637.884975536588
avg_gpu_util_pct,42.969947407963936
peak_gpu_util_pct,45.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,20.552466816929627
avg_ram_used_mb,4594.380916604057
peak_ram_used_mb,4612.0
ram_total_mb,7620.0
max_temp_c,64.562
