field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,9622
input_dim,102
output_dim,4
dataset_build_time_s,5.166920900344849
single_sample_latency_ms,14.062643051147461
avg_latency_ms,12.469176516615162
p50_latency_ms,12.464523315429688
p95_latency_ms,12.637364864349365
total_inference_time_s,120.010493516922
latency_s_per_iteration,0.01247251023871565
throughput_samples_per_s,80.17632223671555
throughput_from_latency_samples_per_s,80.19775794075103
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
avg_power_w,11.700625845229151
median_power_w,11.718
peak_power_w,12.515
energy_j_total,1637.884975536588
energy_j_per_sample_est,0.14589716901903177
energy_j_per_sample_from_total,0.17022292408403533
edp_j_s,0.0018192175537727442
avg_gpu_util_pct,42.969947407963936
peak_gpu_util_pct,45.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,20.552466816929627
avg_ram_used_mb,4594.380916604057
peak_ram_used_mb,4612.0
ram_total_mb,7620.0
max_temp_c,64.562
peak_gpu_mem_mb,26.91455078125
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_bf16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_bf16_r2/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_bf16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_bf16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_bf16_r2/logs/tegrastats_sustained120_spectral_bf16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_bf16_r2/logs/virso_inference_sustained120_spectral_bf16_r2.log
Tegrastats_time_stamps_count,1331
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,229.2578125
cuda_mem_get_info_delta_from_program_start_mb,1008.52734375
cuda_mem_get_info_peak_used_mb,4570.4375
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4057.99609375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3561.91015625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3814.28125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3805.625}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3278.7265625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4341.1796875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 14.1884765625, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.2431640625, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3116.34765625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4503.55859375}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 14.1884765625, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.1884765625, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3116.34765625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4503.55859375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 20.91455078125, ""reserved_mb"": 38.0, ""max_alloc_mb"": 26.91455078125, ""max_reserved_mb"": 38.0, ""mem_get_info_free_mb"": 3049.46875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4570.4375}]"
cuda_peak_alloc_mb,26.91455078125
cuda_peak_reserved_mb,38.0
