field,value
Tegrastats_time_stamps_count,1331
elapsed_s,139.95099997520447
mean_dt_s,0.10522631577083043
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,13.183543200601052
median_power_w,13.208
peak_power_w,13.391
energy_j_total,1845.044117735631
avg_gpu_util_pct,50.483846731780616
peak_gpu_util_pct,55.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,20.166666666666668
avg_ram_used_mb,4515.639368895567
peak_ram_used_mb,4527.0
ram_total_mb,7620.0
max_temp_c,67.781
