field,value
run_ts,virso_full_tf32_20260611_134627
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.87332820892334
single_sample_latency_ms,761.847972869873
avg_latency_ms,565.0909608410251
p50_latency_ms,577.6677131652832
p95_latency_ms,587.1623396873474
total_inference_time_s,175.65901637077332
inference_start_wall_s,1781156801.7764213
inference_end_wall_s,1781156977.4354377
inference_elapsed_wall_s,175.65901637077332
latency_s_per_iteration,0.5666419882928172
avg_total_loss,0.04369489999578124
avg_pressure_loss,0.004812015550992181
avg_vx_loss,0.009354658121423375
avg_vy_loss,0.009145257111278272
avg_vz_loss,0.007757906436980252
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_full_tf32_20260611_134627/logs/virso_inference_virso_full_tf32_20260611_134627.log
precision_mode,tf32
tf32_matmul_allowed,1
tf32_cudnn_allowed,1
amp_mode,off
amp_resolved_dtype,None
