field,value
run_ts,precision_layer2_bf16_20260611_075134
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.995156288146973
single_sample_latency_ms,326.1590003967285
avg_latency_ms,121.11105918884277
p50_latency_ms,129.92358207702637
p95_latency_ms,141.59249067306519
total_inference_time_s,38.2193329334259
inference_start_wall_s,1781135508.1933396
inference_end_wall_s,1781135546.4126725
inference_elapsed_wall_s,38.2193329334259
latency_s_per_iteration,0.12328817075298679
avg_total_loss,0.20652698445464335
avg_pressure_loss,0.018449646667126687
avg_vx_loss,0.05516528759992892
avg_vy_loss,0.05575647232753615
avg_vz_loss,0.04047510400414467
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_bf16_20260611_075134/logs/virso_inference_precision_layer2_bf16_20260611_075134.log
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
