field,value
run_ts,precision_layer2_fp16_20260611_075039
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.035118579864502
single_sample_latency_ms,518.885612487793
avg_latency_ms,91.35464852856052
p50_latency_ms,90.1252031326294
p95_latency_ms,102.36990451812744
total_inference_time_s,28.822460174560547
inference_start_wall_s,1781135453.2292342
inference_end_wall_s,1781135482.0516944
inference_elapsed_wall_s,28.822460174560547
latency_s_per_iteration,0.09297567798245338
avg_total_loss,0.10076283537031662
avg_pressure_loss,0.01376608775087422
avg_vx_loss,0.02108187760797239
avg_vy_loss,0.022292856121015163
avg_vz_loss,0.018062372836134127
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_layer2_fp16_20260611_075039/logs/virso_inference_precision_layer2_fp16_20260611_075039.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
