run_ts,exists,status,params,median_ms,p95_ms,avg_w,j_per_inf,peak_ram_mb,rel_l2,amp_mode,amp_resolved_dtype,group,label,mode
bench2_full_fp32_r2,True,0,1661828.0,649.7652530670166,699.2627501487732,7.467009249743063,4.8251477860766085,,0.04205924094684663,off,,full_fp32,Full spectral--spatial,FP32
bench2_full_fp32_r3,True,0,1661828.0,660.7773303985596,706.8166017532349,7.457987817258883,4.878503105610413,,0.04205924392107033,off,,full_fp32,Full spectral--spatial,FP32
bench2_full_fp32_r4,True,0,1661828.0,640.8764123916626,695.5204486846924,7.5111099476439795,4.763118100852346,,0.042059241720445215,off,,full_fp32,Full spectral--spatial,FP32
bench2_full_fp32_r5,True,0,1661828.0,660.515308380127,709.3087315559387,7.4644913530010175,4.872743464442991,,0.04205924101143835,off,,full_fp32,Full spectral--spatial,FP32
bench2_full_fp32_r6,True,0,1661828.0,579.3561935424805,590.4263377189636,8.7104025,4.620836232091537,,0.04205923946874757,off,,full_fp32,Full spectral--spatial,FP32
bench2_full_ampfp16_r1,True,0,1661828.0,511.7143392562866,671.340811252594,7.1512747909199526,3.9768810270471118,,0.04850386179412805,fp16,torch.float16,full_ampfp16,Full spectral--spatial,AMP FP16
bench2_full_ampfp16_r2,True,0,1661828.0,630.2498579025269,673.7316608428955,6.983791351351352,4.290612215257475,,0.04850590444590536,fp16,torch.float16,full_ampfp16,Full spectral--spatial,AMP FP16
bench2_full_ampfp16_r3,True,0,1661828.0,632.8926086425781,672.7696061134338,6.9360010593220345,4.347891451423424,,0.04850618214376511,fp16,torch.float16,full_ampfp16,Full spectral--spatial,AMP FP16
bench2_full_ampfp16_r4,True,0,1661828.0,644.4565057754517,673.4843134880066,7.044408658922914,4.431209989905375,,0.048498486957302495,fp16,torch.float16,full_ampfp16,Full spectral--spatial,AMP FP16
bench2_full_ampfp16_r5,True,0,1661828.0,641.6870355606079,673.8403797149658,7.0382617021276594,4.394086521107158,,0.04851182108865149,fp16,torch.float16,full_ampfp16,Full spectral--spatial,AMP FP16
bench2_spectral_fp32_r1,True,0,1584782.0,77.96084880828857,83.33953619003296,7.089924369747899,0.5557574857265716,,0.04538138984822698,off,,spectral_fp32,Spectral-only,FP32
bench2_spectral_fp32_r2,True,0,1584782.0,77.14307308197021,82.23131895065308,7.268649572649572,0.5599158950544174,,0.04538138984822698,off,,spectral_fp32,Spectral-only,FP32
bench2_spectral_fp32_r3,True,0,1584782.0,77.67164707183838,83.70504379272461,7.1966890756302515,0.5643379538636057,,0.04538138984822698,off,,spectral_fp32,Spectral-only,FP32
bench2_spectral_ampfp16_r1,True,0,1584782.0,57.41465091705322,59.99479293823242,8.162087912087912,0.48747860302771295,,0.050699878064915535,fp16,torch.float16,spectral_ampfp16,Spectral-only,AMP FP16
bench2_spectral_ampfp16_r2,True,0,1584782.0,57.27183818817139,60.222482681274414,8.151111111111112,0.48137431689769994,,0.050699878064915535,fp16,torch.float16,spectral_ampfp16,Spectral-only,AMP FP16
bench2_spectral_ampfp16_r3,True,0,1584782.0,57.27541446685791,59.917497634887695,8.185022222222221,0.48350549548133714,,0.050699878064915535,fp16,torch.float16,spectral_ampfp16,Spectral-only,AMP FP16
bench2_layer2_fp32_r1,True,0,256460.0,141.2811279296875,157.06177949905396,7.476908675799087,1.0836788232872565,,0.09776356523976691,off,,layer2_fp32,Two-layer spectral--spatial,FP32
bench2_layer2_fp32_r2,True,0,256460.0,142.7065134048462,159.83318090438843,7.473036529680366,1.0832882717486354,,0.09776356352433081,off,,layer2_fp32,Two-layer spectral--spatial,FP32
bench2_layer2_fp32_r3,True,0,256460.0,144.52683925628662,160.6991410255432,7.509684444444444,1.1183959056392798,,0.0977635639990049,off,,layer2_fp32,Two-layer spectral--spatial,FP32
bench2_layer2_ampfp16_r1,True,0,256460.0,114.21465873718262,118.78219842910767,8.495724550898203,0.9369080450034906,,0.10075826691163163,fp16,torch.float16,layer2_ampfp16,Two-layer spectral--spatial,AMP FP16
bench2_layer2_ampfp16_r2,True,0,256460.0,114.72821235656738,120.41810750961304,8.475204819277108,0.9283526446627036,,0.10075777323556043,fp16,torch.float16,layer2_ampfp16,Two-layer spectral--spatial,AMP FP16
bench2_layer2_ampfp16_r3,True,0,256460.0,117.63978004455566,120.528244972229,8.469343373493976,0.9276167586918801,,0.10075932105762823,fp16,torch.float16,layer2_ampfp16,Two-layer spectral--spatial,AMP FP16
