field,value
run_ts,profile_full_ampfp16_existing_path_optional
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,2524393432.0
analytic_flops_per_sample,8964817920.0
macs_per_sample,1262196716.0
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.273532867431641
single_sample_latency_ms,573.5280513763428
avg_latency_ms,496.60766355453
p50_latency_ms,506.71184062957764
p95_latency_ms,631.8664789199829
total_inference_time_s,154.57972145080566
inference_start_wall_s,1779815575.8704135
inference_end_wall_s,1779815730.450135
inference_elapsed_wall_s,154.57972145080566
latency_s_per_iteration,0.4986442627445344
avg_total_loss,0.048497032408692665
avg_pressure_loss,0.004951369745897189
avg_vx_loss,0.01076896287981541
avg_vy_loss,0.01047656859661783
avg_vz_loss,0.009120858568818339
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_full_ampfp16_existing_path_optional/logs/virso_inference_profile_full_ampfp16_existing_path_optional.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
