field,value
run_ts,profile_layer2_fp32_existing_path
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,613391864.0
analytic_flops_per_sample,1353139200.0
macs_per_sample,306695932.0
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.05563759803772
single_sample_latency_ms,165.68875312805176
avg_latency_ms,102.94076858028289
p50_latency_ms,101.85658931732178
p95_latency_ms,121.82044982910156
total_inference_time_s,32.320329904556274
inference_start_wall_s,1779815472.5072324
inference_end_wall_s,1779815504.8275623
inference_elapsed_wall_s,32.320329904556274
latency_s_per_iteration,0.10425912872437508
avg_total_loss,0.09776356304665246
avg_pressure_loss,0.013654746875287064
avg_vx_loss,0.020090352846009116
avg_vy_loss,0.021417005083733988
avg_vz_loss,0.017334999264247957
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_profiles_existing_path/profile_layer2_fp32_existing_path/logs/virso_inference_profile_layer2_fp32_existing_path.log
amp_mode,off
amp_resolved_dtype,None
