Generating SQLite file inference_runs/virso_profiles_nsys_clean/profile_full_fp32_existing_path/nsys_profile_full_fp32_existing_path.sqlite from inference_runs/virso_profiles_nsys_clean/profile_full_fp32_existing_path/nsys_profile_full_fp32_existing_path.nsys-rep
Processing [inference_runs/virso_profiles_nsys_clean/profile_full_fp32_existing_path/nsys_profile_full_fp32_existing_path.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)             Name         
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ---------------  ----------------------
     51.4   68,929,336,800         10  6,892,933,680.0  6,889,834,608.0      3,504,640  13,785,683,328  7,260,240,948.9  pthread_cond_wait     
     41.1   55,064,917,248      3,864     14,250,755.0        535,936.0            992  10,551,382,368    315,388,381.4  futex                 
      5.5    7,415,521,984         10    741,552,198.4      4,528,304.0         17,056   7,337,176,576  2,317,514,463.4  poll                  
      1.0    1,275,731,072          1  1,275,731,072.0  1,275,731,072.0  1,275,731,072   1,275,731,072              0.0  sem_timedwait         
      0.5      649,841,792      8,321         78,096.6          4,736.0            992      10,264,896        172,035.7  read                  
      0.4      507,273,152          2    253,636,576.0    253,636,576.0         11,296     507,261,856    358,680,310.7  fread                 
      0.1      184,646,816      2,085         88,559.6          5,664.0            992      13,361,184        526,337.0  ioctl                 
      0.0       62,567,680      4,280         14,618.6         13,120.0          6,368         315,072          7,467.7  open64                
      0.0        7,425,152          1      7,425,152.0      7,425,152.0      7,425,152       7,425,152              0.0  backtrace             
      0.0        6,395,840          3      2,131,946.7      1,454,496.0         44,064       4,897,280      2,496,523.8  pthread_join          
      0.0        5,089,024          1      5,089,024.0      5,089,024.0      5,089,024       5,089,024              0.0  nanosleep             
      0.0        3,415,232        152         22,468.6         23,088.0          5,056          39,936          7,093.2  mmap64                
      0.0        3,021,408         23        131,365.6        130,048.0          8,256         209,408         48,840.2  munmap                
      0.0        2,696,192        160         16,851.2          8,640.0          1,056         214,496         30,774.6  write                 
      0.0        2,536,576         12        211,381.3         54,048.0         13,120       1,523,776        430,279.3  sem_wait              
      0.0        1,714,048         56         30,608.0          9,264.0          3,328         346,080         69,614.5  open                  
      0.0        1,706,336         76         22,451.8         12,192.0          2,976         116,224         23,340.9  mmap                  
      0.0        1,171,840         13         90,141.5         83,936.0         30,432         199,392         45,762.1  pthread_create        
      0.0          658,176        123          5,351.0          1,408.0            992         317,920         28,898.8  pthread_cond_signal   
      0.0          617,760          1        617,760.0        617,760.0        617,760         617,760              0.0  pthread_cond_timedwait
      0.0          597,056         33         18,092.6         10,176.0          2,048          96,512         18,357.6  fopen                 
      0.0          253,312         98          2,584.8          1,680.0            992          25,248          3,441.4  fcntl                 
      0.0          154,560          8         19,320.0          8,992.0          1,696          50,720         20,657.6  fgets                 
      0.0          132,512         26          5,096.6          3,792.0          1,248          16,736          4,356.4  fclose                
      0.0           61,120          5         12,224.0          9,856.0          6,304          23,296          7,106.3  fopen64               
      0.0           34,176          1         34,176.0         34,176.0         34,176          34,176              0.0  socket                
      0.0           33,088          1         33,088.0         33,088.0         33,088          33,088              0.0  connect               
      0.0           18,304          1         18,304.0         18,304.0         18,304          18,304              0.0  pipe2                 
      0.0           13,120          4          3,280.0          2,768.0          1,248           6,336          2,188.3  sigaction             
      0.0           10,624          1         10,624.0         10,624.0         10,624          10,624              0.0  fwrite                
      0.0            8,128          6          1,354.7          1,312.0          1,056           1,824            272.0  fflush                
      0.0            4,832          3          1,610.7          1,504.0          1,312           2,016            363.9  dup                   
      0.0            2,272          2          1,136.0          1,136.0            992           1,280            203.6  pthread_mutex_trylock 
      0.0            1,472          1          1,472.0          1,472.0          1,472           1,472              0.0  pthread_cond_broadcast

