Generating SQLite file inference_runs/virso_profiles_nsys_clean/profile_spectral_fp32_existing_path/nsys_profile_spectral_fp32_existing_path.sqlite from inference_runs/virso_profiles_nsys_clean/profile_spectral_fp32_existing_path/nsys_profile_spectral_fp32_existing_path.nsys-rep
Processing [inference_runs/virso_profiles_nsys_clean/profile_spectral_fp32_existing_path/nsys_profile_spectral_fp32_existing_path.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     40.2    2,077,191,104      3,100  670,061.6  709,248.0   318,272   713,312    104,973.8  void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T…
     13.7      705,945,632      4,340  162,660.3  132,384.0    37,600   680,160    137,952.4  ampere_sgemm_64x64_tn                                                                               
     10.1      523,254,368      3,100  168,791.7  178,016.0    81,888   182,400     25,344.9  ampere_sgemm_64x32_sliced1x4_nt                                                                     
      8.7      449,171,104      6,510   68,997.1   78,848.0     4,512    84,096     17,867.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
      7.8      403,648,480      3,100  130,209.2  135,232.0    58,848   154,240     20,742.4  ampere_sgemm_64x64_nn                                                                               
      6.2      321,691,168      3,100  103,771.3  109,344.0    46,208   136,672     16,527.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.6      132,842,752        620  214,262.5  148,624.0    65,568   311,392     83,970.7  ampere_sgemm_32x128_tn                                                                              
      2.5      131,438,560        930  141,331.8  132,432.0    27,872   262,176     80,621.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      2.4      125,215,264      3,100   40,392.0   41,088.0    17,248    68,224      7,354.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIte…
      1.6       83,687,136      3,100   26,995.9   28,384.0    11,360    45,824      4,493.2  void gemv2N_kernel<int, int, float, float, float, float, (int)128, (int)4, (int)4, (int)4, (int)1, …
      1.0       54,241,216      3,100   17,497.2   18,272.0     6,976    27,872      2,898.3  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, (bool)0, float, floa…
      1.0       49,646,272      3,100   16,014.9   16,832.0     6,304    29,440      3,419.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps…
      0.5       24,338,752      1,860   13,085.4   11,360.0     4,704    22,880      4,279.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4       21,479,840      3,100    6,929.0    7,168.0     2,976    11,904      1,301.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
      0.4       18,533,728      1,550   11,957.2   11,040.0     4,640    17,632      2,753.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.3       13,145,088        310   42,403.5   44,480.0    21,920    47,232      6,004.0  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<…
      0.2       11,612,736      1,550    7,492.1    7,488.0     3,136    12,288      1,462.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.2        8,954,144        620   14,442.2   14,560.0     6,112    19,392      2,513.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1        7,395,008        620   11,927.4   11,040.0     4,640    19,296      2,535.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<void …
      0.1        5,571,360        310   17,972.1   19,072.0     8,160    21,216      3,115.7  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0        2,122,720        310    6,847.5    6,848.0     2,880    16,256      1,463.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…

