Generating SQLite file inference_runs/virso_profiles_nsys_clean/profile_spectral_fp32_existing_path/nsys_profile_spectral_fp32_existing_path.sqlite from inference_runs/virso_profiles_nsys_clean/profile_spectral_fp32_existing_path/nsys_profile_spectral_fp32_existing_path.nsys-rep
Processing [inference_runs/virso_profiles_nsys_clean/profile_spectral_fp32_existing_path/nsys_profile_spectral_fp32_existing_path.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls      Avg (ns)          Med (ns)         Min (ns)        Max (ns)       StdDev (ns)             Name         
 --------  ---------------  ---------  ----------------  ----------------  --------------  --------------  ---------------  ----------------------
     53.8  129,509,886,560      3,694      35,059,525.3         491,552.0             992  36,532,855,616  1,046,906,914.5  futex                 
     25.2   60,773,418,976          5  12,154,683,795.2  12,154,892,352.0  12,153,289,088  12,156,008,992      1,103,835.7  pthread_cond_wait     
     11.8   28,347,729,824          3   9,449,243,274.7   9,999,743,648.0   8,348,175,840   9,999,810,336    953,552,370.3  sem_timedwait         
      6.1   14,768,080,896    173,561          85,088.7          17,824.0             992       7,660,672        262,160.9  ioctl                 
      2.7    6,587,566,080         10     658,756,608.0       4,002,640.0          17,568   6,534,082,688  2,064,397,898.7  poll                  
      0.1      269,542,976          2     134,771,488.0     134,771,488.0           8,736     269,534,240    190,583,311.6  fread                 
      0.1      244,746,080      7,571          32,326.8           4,576.0             992      10,298,208        258,811.6  read                  
      0.0       73,552,800          5      14,710,560.0         231,424.0           9,952      45,911,200     21,049,515.8  fwrite                
      0.0       55,557,696      4,272          13,005.1          12,192.0           6,176         172,512          5,587.4  open64                
      0.0       25,131,904     16,137           1,557.4           1,440.0             992         102,048          1,457.8  fcntl                 
      0.0       10,488,064         75         139,840.9          35,520.0           6,976       1,686,080        290,094.7  pthread_mutex_lock    
      0.0        9,118,272        452          20,173.2          17,408.0           2,240         130,176         17,650.7  write                 
      0.0        7,609,312          5       1,521,862.4       1,368,256.0          67,392       3,397,344      1,514,767.0  pthread_join          
      0.0        7,360,768         12         613,397.3          38,240.0          10,912       6,270,144      1,790,685.9  sem_wait              
      0.0        5,060,896          1       5,060,896.0       5,060,896.0       5,060,896       5,060,896              0.0  nanosleep             
      0.0        3,381,792         24         140,908.0         143,328.0           9,472         244,896         58,907.2  munmap                
      0.0        3,147,648        152          20,708.2          20,528.0           7,072          40,192          7,577.8  mmap64                
      0.0        2,063,424         13         158,724.9          79,584.0          28,992         736,832        202,007.0  pthread_create        
      0.0        1,515,136         56          27,056.0           9,232.0           3,520         272,352         55,995.4  open                  
      0.0        1,202,144         77          15,612.3           7,776.0           3,072          78,592         17,501.2  mmap                  
      0.0          819,552          2         409,776.0         409,776.0         164,448         655,104        346,946.2  pthread_cond_timedwait
      0.0          649,760        103           6,308.3           1,376.0             992         116,416         18,141.7  pthread_cond_signal   
      0.0          566,624         33          17,170.4          10,208.0           2,304          90,912         16,790.1  fopen                 
      0.0          432,448          2         216,224.0         216,224.0          90,528         341,920        177,761.0  fallocate64           
      0.0          176,672         20           8,833.6           7,424.0           3,072          26,048          6,495.3  fclose                
      0.0          117,664          7          16,809.1           4,384.0           1,536          53,472         20,327.4  fgets                 
      0.0           59,424          5          11,884.8           9,056.0           5,248          25,856          8,060.7  fopen64               
      0.0           32,320          1          32,320.0          32,320.0          32,320          32,320              0.0  socket                
      0.0           25,568          1          25,568.0          25,568.0          25,568          25,568              0.0  connect               
      0.0           20,576          1          20,576.0          20,576.0          20,576          20,576              0.0  pipe2                 
      0.0           12,448          4           3,112.0           2,736.0           1,280           5,696          2,135.0  sigaction             
      0.0            5,088          3           1,696.0           1,536.0           1,344           2,208            453.7  dup                   
      0.0            3,904          3           1,301.3           1,280.0           1,024           1,600            288.6  fflush                
      0.0            1,216          1           1,216.0           1,216.0           1,216           1,216              0.0  pthread_mutex_trylock 

