field,value
run_ts,20260715_015902
run_dir,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1
report_dir,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/reports
device,cuda
gpu_name,NVIDIA GH200 120GB
torch_version,2.11.0+cu128
cuda_version,12.8
model_checkpoint,<JETSON_HPC>/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,613391864.0
analytic_flops_per_sample,1353139200.0
macs_per_sample,306695932.0
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,39680
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,1.379230260848999
single_sample_latency_ms,22.856950759887695
avg_latency_ms,2.9843263508331392
p50_latency_ms,2.9754638671875
p95_latency_ms,3.099679946899414
total_inference_time_s,120.9139301776886
inference_start_wall_s,1784098745.4820583
inference_end_wall_s,1784098866.3959885
inference_elapsed_wall_s,120.9139301776886
latency_s_per_iteration,0.003047226062945781
avg_total_loss,0.09760918407548395
avg_pressure_loss,0.013637791234824333
avg_vx_loss,0.020041085771029636
avg_vy_loss,0.021373866932164323
avg_vz_loss,0.01730079811776147
peak_gpu_mem_mb,127.75390625
cuda_peak_alloc_mb,127.75390625
cuda_peak_reserved_mb,170.0
cuda_mem_get_info_peak_used_mb,906.0625
cuda_mem_get_info_delta_from_program_start_mb,342.0
cuda_mem_get_info_delta_from_after_model_load_mb,340.0
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 96794.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 564.0625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 96792.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 566.0625}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 96792.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 566.0625}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 33.99169921875, ""reserved_mb"": 170.0, ""max_alloc_mb"": 127.6767578125, ""max_reserved_mb"": 170.0, ""mem_get_info_free_mb"": 96452.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 906.0625}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 33.99169921875, ""reserved_mb"": 170.0, ""max_alloc_mb"": 33.99169921875, ""max_reserved_mb"": 170.0, ""mem_get_info_free_mb"": 96452.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 906.0625}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 40.9169921875, ""reserved_mb"": 170.0, ""max_alloc_mb"": 127.7529296875, ""max_reserved_mb"": 170.0, ""mem_get_info_free_mb"": 96452.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 906.0625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 33.99267578125, ""reserved_mb"": 170.0, ""max_alloc_mb"": 127.75390625, ""max_reserved_mb"": 170.0, ""mem_get_info_free_mb"": 96452.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 906.0625}]"
predictions_path,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/outputs/virso_predictions.npy
targets_path,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/outputs/virso_single_pred.npy
dry_target_path,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/outputs/virso_single_gold.npy
monitor_cmd,nvidia-smi
monitor_log,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/logs/tegrastats_20260715_015902.log
log_file,<REPO>/results/gh200_fp32_20260715/hx/layer2_rep1/logs/virso_inference_20260715_015902.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
