field,value
run_ts,20260715_015636
run_dir,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3
report_dir,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/reports
device,cuda
gpu_name,NVIDIA GH200 120GB
torch_version,2.11.0+cu128
cuda_version,12.8
model_checkpoint,<JETSON_HPC>/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,982627392.0
analytic_flops_per_sample,5864325120.0
macs_per_sample,491313696.0
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,21080
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,1.3902199268341064
single_sample_latency_ms,42.07658767700195
avg_latency_ms,5.671451202606114
p50_latency_ms,5.649566650390625
p95_latency_ms,5.909216403961182
total_inference_time_s,121.48265671730042
inference_start_wall_s,1784098599.3979385
inference_end_wall_s,1784098720.8805952
inference_elapsed_wall_s,121.48265671730042
latency_s_per_iteration,0.005762934379378578
avg_total_loss,0.04498007456591773
avg_pressure_loss,0.005479577502175685
avg_vx_loss,0.010013671931360038
avg_vy_loss,0.009361113595866388
avg_vz_loss,0.007228537067590702
peak_gpu_mem_mb,53.5732421875
cuda_peak_alloc_mb,53.5732421875
cuda_peak_reserved_mb,72.0
cuda_mem_get_info_peak_used_mb,808.0625
cuda_mem_get_info_delta_from_program_start_mb,244.0
cuda_mem_get_info_delta_from_after_model_load_mb,236.0
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 96794.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 564.0625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 96792.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 566.0625}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 96786.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 572.0625}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 39.0634765625, ""reserved_mb"": 72.0, ""max_alloc_mb"": 53.49609375, ""max_reserved_mb"": 72.0, ""mem_get_info_free_mb"": 96552.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 806.0625}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 39.0634765625, ""reserved_mb"": 72.0, ""max_alloc_mb"": 39.0634765625, ""max_reserved_mb"": 72.0, ""mem_get_info_free_mb"": 96552.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 806.0625}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 45.98876953125, ""reserved_mb"": 72.0, ""max_alloc_mb"": 53.572265625, ""max_reserved_mb"": 72.0, ""mem_get_info_free_mb"": 96550.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 808.0625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 39.064453125, ""reserved_mb"": 72.0, ""max_alloc_mb"": 53.5732421875, ""max_reserved_mb"": 72.0, ""mem_get_info_free_mb"": 96550.125, ""mem_get_info_total_mb"": 97358.1875, ""mem_get_info_used_mb"": 808.0625}]"
predictions_path,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/outputs/virso_predictions.npy
targets_path,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/outputs/virso_single_pred.npy
dry_target_path,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/outputs/virso_single_gold.npy
monitor_cmd,nvidia-smi
monitor_log,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/logs/tegrastats_20260715_015636.log
log_file,<REPO>/results/gh200_fp32_20260715/hx/spectral_rep3/logs/virso_inference_20260715_015636.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
